category,count
[呼吸],66198
[惊讶],31761
[笑声],29191
[叹气],15899
[咳嗽],15212
[确认],11882
[疑问],10617
[迟疑],9897
[吸鼻],7420
[哭声],5595
[清嗓],4993
[不满],4744
[倒吸气],4142
[哈欠],3997
[嘘声],3811
[呻吟],3577
[吹口哨],3381
[打喷嚏],3270
[咂嘴],3269
[嘶声],3148
[哼唱],2570
[打鼾],2464
[咳嗽],[呼吸],[确认],2
[疑问],[呼吸],[惊讶],2
[疑问],[笑声],[确认],2
[疑问],[笑声],[呼吸],2
[哼唱],[笑声],[吹口哨],2
[打喷嚏],[清嗓],2
[咳嗽],[咂嘴],2
[咳嗽],[嘶声],2
[鼓掌],[叹气],[吹口哨],2
[呼吸],[打喷嚏],[笑声],2
[吹口哨],[叹气],[呼吸],2
[呼吸],[呻吟],[嘶声],2
[叹气],[疑问],[迟疑],[惊讶],2
[确认],[迟疑],[不满],2
[打喷嚏],[咳嗽],[笑声],2
[咂嘴],[哼唱],[笑声],2
[惊讶],[叹气],[笑声],2
[吹口哨],[笑声],[哼唱],2
[嘘声],[咂嘴],[打喷嚏],2
[打喷嚏],[哈欠],[倒吸气],2
[倒吸气],[吹口哨],[嘘声],2
[哈欠],[嘘声],[哼唱],2
[嘘声],[打喷嚏],[吹口哨],2
[吹口哨],[打喷嚏],[倒吸气],2
[吹口哨],[咂嘴],[嘘声],2
[哼唱],[哈欠],[咂嘴],2
[咂嘴],[嘶声],[呻吟],2
[吹口哨],[咂嘴],[打喷嚏],2
[倒吸气],[呻吟],[哼唱],2
[嘘声],[打鼾],[呻吟],2
[哼唱],[哈欠],[吹口哨],2
[哼唱],[吹口哨],[呻吟],2
[嘘声],[吹口哨],[哼唱],2
[呻吟],[嘶声],[打喷嚏],2
[呻吟],[哈欠],[吹口哨],2
[打鼾],[咂嘴],[哼唱],2
[咂嘴],[哼唱],[吹口哨],2
[打鼾],[嘶声],[嘘声],2
[呻吟],[打鼾],[嘘声],2
[哈欠],[打鼾],[呻吟],2
[倒吸气],[咂嘴],[哈欠],2
[哈欠],[打鼾],[嘘声],2
[打鼾],[哈欠],[呻吟],2
[吹口哨],[嘘声],[倒吸气],2
[哼唱],[打鼾],[吹口哨],2
[咂嘴],[哼唱],[嘶声],2
[咂嘴],[嘘声],[哼唱],2
[嘶声],[吹口哨],[哼唱],2
[吹口哨],[嘘声],[呻吟],2
[呻吟],[哈欠],[打鼾],2
[嘶声],[打鼾],[咂嘴],2
[打鼾],[哈欠],[嘶声],2
[嘶声],[咂嘴],[倒吸气],2
[嘶声],[呻吟],[咂嘴],2
[哼唱],[哈欠],[倒吸气],2
[吹口哨],[咂嘴],[倒吸气],2
[呻吟],[哼唱],[嘶声],2
[哈欠],[打喷嚏],[呻吟],2
[嘘声],[呻吟],[哼唱],2
[吹口哨],[呻吟],[打喷嚏],2
[嘘声],[咂嘴],[吹口哨],2
[嘘声],[打喷嚏],[哈欠],2
[打鼾],[咂嘴],[倒吸气],2
[倒吸气],[吹口哨],[打喷嚏],2
[吹口哨],[打鼾],[倒吸气],2
[嘘声],[呻吟],[咂嘴],2
[吹口哨],[嘘声],[打鼾],2
[吹口哨],[哼唱],[打喷嚏],2
[打鼾],[咂嘴],[哈欠],2
[打喷嚏],[嘶声],[打鼾],2
[哼唱],[呻吟],[咂嘴],2
[倒吸气],[哼唱],[吹口哨],2
[呻吟],[倒吸气],[嘶声],2
[呻吟],[打鼾],[哈欠],2
[倒吸气],[嘶声],[哼唱],2
[呻吟],[咂嘴],[哼唱],2
[打喷嚏],[倒吸气],[嘘声],2
[嘶声],[打鼾],[嘘声],2
[嘘声],[打喷嚏],[嘶声],2
[吹口哨],[嘶声],[嘘声],2
[咂嘴],[呻吟],[嘶声],2
[打鼾],[嘶声],[咂嘴],2
[嘶声],[咂嘴],[哈欠],2
[吹口哨],[倒吸气],[打鼾],2
[倒吸气],[嘘声],[打喷嚏],2
[哼唱],[嘘声],[吹口哨],2
[嘘声],[嘶声],[打喷嚏],2
[呻吟],[打鼾],[打喷嚏],2
[打喷嚏],[嘶声],[哈欠],2
[嘶声],[吹口哨],[打鼾],2
[吹口哨],[嘘声],[打喷嚏],2
[哼唱],[倒吸气],[哈欠],2
[哼唱],[哈欠],[呻吟],2
[呻吟],[咂嘴],[倒吸气],2
[打喷嚏],[咂嘴],[倒吸气],2
[嘘声],[哼唱],[打鼾],2
[打喷嚏],[打鼾],[咂嘴],2
[哼唱],[打鼾],[嘘声],2
[哈欠],[咂嘴],[哼唱],2
[打鼾],[打喷嚏],[嘘声],2
[呻吟],[打鼾],[哼唱],2
[打喷嚏],[倒吸气],[吹口哨],2
[倒吸气],[咂嘴],[哼唱],2
[嘶声],[打喷嚏],[呻吟],2
[哈欠],[倒吸气],[哼唱],2
[倒吸气],[吹口哨],[呻吟],2
[哈欠],[嘶声],[打鼾],2
[打鼾],[哼唱],[哈欠],2
[咂嘴],[嘘声],[打鼾],2
[咂嘴],[嘘声],[嘶声],2
[嘘声],[咂嘴],[哼唱],2
[咂嘴],[哼唱],[倒吸气],2
[咂嘴],[倒吸气],[嘘声],2
[呻吟],[哈欠],[嘘声],2
[嘘声],[咂嘴],[倒吸气],2
[嘘声],[倒吸气],[哈欠],2
[吹口哨],[打鼾],[嘶声],2
[哈欠],[打鼾],[嘶声],2
[嘘声],[呻吟],[嘶声],2
[咂嘴],[嘘声],[呻吟],2
[嘘声],[哈欠],[吹口哨],2
[倒吸气],[呻吟],[打鼾],2
[嘶声],[嘘声],[哼唱],2
[呻吟],[嘶声],[嘘声],2
[打鼾],[嘶声],[哈欠],2
[哼唱],[嘶声],[打鼾],2
[哈欠],[呻吟],[哼唱],2
[吹口哨],[打喷嚏],[嘘声],2
[哼唱],[嘶声],[嘘声],2
[打喷嚏],[呻吟],[吹口哨],2
[嘶声],[嘘声],[咂嘴],2
[嘶声],[咂嘴],[吹口哨],2
[打喷嚏],[哼唱],[哈欠],2
[打鼾],[嘘声],[倒吸气],2
[哼唱],[咂嘴],[打鼾],2
[吹口哨],[打鼾],[打喷嚏],2
[哈欠],[打喷嚏],[打鼾],2
[呻吟],[咂嘴],[嘶声],2
[嘘声],[打喷嚏],[打鼾],2
[呻吟],[打鼾],[倒吸气],2
[疑问],[叹气],[呼吸],1
[咳嗽],[叹气],[笑声],1
[疑问],[叹气],[不满],1
[咳嗽],[确认],[惊讶],1
[疑问],[呼吸],[笑声],[惊讶],1
[惊讶],[迟疑],[不满],[呼吸],1
[确认],[不满],[疑问],1
[呼吸],[疑问],[不满],1
[叹气],[惊讶],[呼吸],[迟疑],1
[疑问],[叹气],[笑声],1
[疑问],[呼吸],[迟疑],[惊讶],1
[确认],[呼吸],[笑声],[不满],1
[咳嗽],[笑声],[确认],1
[惊讶],[叹气],[疑问],1
[嘶声],[打喷嚏],[鼓掌],1
[呼吸],[哼唱],[鼓掌],1
[清嗓],[打喷嚏],[吸鼻],1
[哼唱],[打喷嚏],[呼吸],1
[笑声],[打喷嚏],[呻吟],1
[呻吟],[鼓掌],[吹口哨],1
[嘶声],[呼吸],[叹气],1
[嘶声],[鼓掌],[打喷嚏],1
[打喷嚏],[笑声],[咳嗽],1
[吸鼻],[鼓掌],[吹口哨],1
[嘶声],[笑声],[咳嗽],1
[吹口哨],[咂嘴],[哼唱],1
[呻吟],[呼吸],[清嗓],1
[鼓掌],[吸鼻],[叹气],1
[咂嘴],[呼吸],[笑声],1
[吹口哨],[笑声],[呻吟],1
[清嗓],[哼唱],1
[鼓掌],[呻吟],[打喷嚏],1
[咂嘴],[鼓掌],[笑声],1
[咳嗽],[笑声],[吸鼻],1
[打喷嚏],[嘶声],[呼吸],1
[叹气],[呼吸],[鼓掌],1
[呼吸],[鼓掌],[呻吟],1
[鼓掌],[笑声],[吹口哨],1
[鼓掌],[吹口哨],[叹气],1
[呻吟],[鼓掌],[咳嗽],1
[鼓掌],[打喷嚏],[呻吟],1
[呼吸],[吹口哨],[叹气],1
[咳嗽],[笑声],[嘶声],1
[呻吟],[吹口哨],[鼓掌],1
[打喷嚏],[呼吸],[吸鼻],1
[惊讶],[咳嗽],[迟疑],1
[迟疑],[呼吸],[笑声],[不满],1
[迟疑],[疑问],[呼吸],[惊讶],1
[咳嗽],[叹气],[呼吸],1
[疑问],[确认],[迟疑],[呼吸],1
[惊讶],[疑问],[不满],1
[迟疑],[呼吸],[笑声],[惊讶],1
[咳嗽],[呼吸],[不满],1
[叹气],[呼吸],[迟疑],[确认],1
[叹气],[迟疑],[疑问],[惊讶],1
[笑声],[不满],[惊讶],1
[惊讶],[迟疑],[疑问],[笑声],1
[咳嗽],[呼吸],[疑问],1
[呼吸],[咳嗽],[惊讶],[确认],1
[笑声],[咳嗽],[清嗓],1
[笑声],[吹口哨],[哼唱],1
[叹气],[嘶声],[鼓掌],1
[呼吸],[哼唱],[清嗓],1
[鼓掌],[咂嘴],[呼吸],1
[吸鼻],[打喷嚏],[呼吸],1
[咂嘴],[叹气],[笑声],1
[呼吸],[叹气],[吹口哨],1
[吹口哨],[笑声],[鼓掌],1
[打喷嚏],[笑声],[呼吸],1
[呻吟],[哼唱],[鼓掌],1
[呼吸],[嘶声],[吹口哨],1
[哼唱],[清嗓],[呼吸],1
[嘶声],[笑声],[打喷嚏],1
[笑声],[咂嘴],[呼吸],1
[打喷嚏],[鼓掌],[嘶声],1
[咂嘴],[笑声],[鼓掌],1
[呻吟],[笑声],[打喷嚏],1
[笑声],[呻吟],[打喷嚏],1
[清嗓],[吸鼻],[打喷嚏],1
[打喷嚏],[叹气],[鼓掌],1
[打喷嚏],[呻吟],[鼓掌],1
[呼吸],[打喷嚏],[咂嘴],1
[吹口哨],[鼓掌],[咳嗽],1
[鼓掌],[笑声],[咂嘴],1
[笑声],[清嗓],[鼓掌],1
[打喷嚏],[呼吸],[咂嘴],1
[呻吟],[清嗓],[呼吸],1
[吹口哨],[呼吸],[嘶声],1
[咂嘴],[清嗓],[呼吸],1
[叹气],[鼓掌],[呼吸],1
[笑声],[咂嘴],[叹气],1
[叹气],[鼓掌],[吸鼻],1
[呼吸],[叹气],[鼓掌],1
[呼吸],[咂嘴],[清嗓],1
[笑声],[打喷嚏],[嘶声],1
[吸鼻],[呼吸],[清嗓],1
[清嗓],[呼吸],[吸鼻],1
[嘘声],[确认],[疑问],1
[呼吸],[不满],[确认],[惊讶],1
[笑声],[迟疑],[呼吸],[惊讶],1
[迟疑],[惊讶],[确认],[疑问],1
[笑声],[疑问],[惊讶],1
[迟疑],[呼吸],[笑声],[疑问],1
[迟疑],[疑问],[笑声],1
[笑声],[呼吸],[迟疑],[惊讶],1
[惊讶],[迟疑],[笑声],[呼吸],1
[惊讶],[迟疑],[笑声],[疑问],1
[迟疑],[疑问],[笑声],[不满],1
[疑问],[惊讶],[确认],1
[迟疑],[疑问],[确认],1
[确认],[迟疑],[笑声],[不满],1
[咳嗽],[惊讶],[呼吸],1
[不满],[迟疑],[确认],[惊讶],1
[疑问],[笑声],[不满],1
[呼吸],[确认],[惊讶],[疑问],1
[疑问],[呼吸],[确认],1
[咳嗽],[叹气],[不满],1
[嘘声],[呼吸],[笑声],1
[吹口哨],[嘶声],[呼吸],1
[嘶声],[鼓掌],[叹气],1
[哼唱],[呻吟],[鼓掌],1
[咳嗽],[呻吟],[鼓掌],1
[笑声],[哼唱],[吹口哨],1
[咂嘴],[鼓掌],[呼吸],1
[咳嗽],[鼓掌],[吹口哨],1
[鼓掌],[呻吟],[嘶声],1
[鼓掌],[叹气],[打喷嚏],1
[咂嘴],[打喷嚏],[呼吸],1
[吸鼻],[呼吸],[打喷嚏],1
[呼吸],[咂嘴],[鼓掌],1
[吸鼻],[咳嗽],[叹气],1
[打喷嚏],[吹口哨],[笑声],1
[鼓掌],[叹气],[吸鼻],1
[嘶声],[呼吸],[呻吟],1
[鼓掌],[哼唱],[咳嗽],1
[嘶声],[打喷嚏],[呼吸],1
[鼓掌],[吹口哨],[呻吟],1
[呼吸],[清嗓],[吸鼻],1
[打喷嚏],[嘶声],[笑声],1
[打喷嚏],[呼吸],[笑声],1
[鼓掌],[打喷嚏],[呼吸],1
[打喷嚏],[嘶声],[鼓掌],1
[咂嘴],[呼吸],[吸鼻],1
[咂嘴],[呼吸],[鼓掌],1
[咂嘴],[笑声],[打喷嚏],1
[鼓掌],[笑声],[清嗓],1
[咳嗽],[叹气],[吸鼻],1
[吸鼻],[叹气],[鼓掌],1
[嘶声],[呻吟],[鼓掌],1
[咳嗽],[迟疑],[笑声],[确认],1
[呼吸],[哭声],[不满],1
[确认],[呼吸],[笑声],[疑问],1
[疑问],[惊讶],[笑声],1
[迟疑],[笑声],[不满],[惊讶],1
[疑问],[不满],[笑声],[确认],1
[笑声],[鼓掌],[咂嘴],1
[鼓掌],[呻吟],[呼吸],1
[鼓掌],[呻吟],[咳嗽],1
[鼓掌],[咂嘴],[叹气],1
[哼唱],[呼吸],[咂嘴],1
[打喷嚏],[笑声],[呻吟],1
[哼唱],[鼓掌],[呼吸],1
[鼓掌],[清嗓],[笑声],1
[笑声],[嘶声],[咳嗽],1
[呼吸],[清嗓],[咂嘴],1
[清嗓],[鼓掌],[笑声],1
[笑声],[咳嗽],[嘶声],1
[笑声],[嘶声],[打喷嚏],1
[清嗓],[呼吸],[呻吟],1
[呼吸],[咂嘴],[打喷嚏],1
[叹气],[咳嗽],[吸鼻],1
[呼吸],[吸鼻],[咂嘴],1
[鼓掌],[打喷嚏],[叹气],1
[笑声],[咳嗽],[打喷嚏],1
[咂嘴],[哼唱],[呼吸],1
[叹气],[鼓掌],[吹口哨],1
[咂嘴],[吸鼻],[呼吸],1
[咳嗽],[清嗓],[笑声],1
[呼吸],[打喷嚏],[嘶声],1
[吹口哨],[呼吸],[叹气],1
[呼吸],[呻吟],[鼓掌],1
[叹气],[打喷嚏],[鼓掌],1
[打喷嚏],[咂嘴],[笑声],1
[呼吸],[打喷嚏],[吸鼻],1
[鼓掌],[吹口哨],[笑声],1
[笑声],[咂嘴],[哼唱],1
[鼓掌],[咳嗽],[呻吟],1
[打喷嚏],[鼓掌],[呼吸],1
[鼓掌],[哼唱],[吸鼻],1
[鼓掌],[呻吟],[哼唱],1
[叹气],[鼓掌],[打喷嚏],1
[呼吸],[咂嘴],[笑声],1
[嘘声],[迟疑],[疑问],1
[呼吸],[惊讶],[笑声],[不满],1
[嘘声],[呼吸],[惊讶],1
[咳嗽],[惊讶],[不满],1
[惊讶],[呼吸],[迟疑],[确认],1
[惊讶],[呼吸],[确认],1
[惊讶],[呼吸],[迟疑],[疑问],1
[呼吸],[迟疑],[疑问],[惊讶],1
[疑问],[确认],[笑声],1
[疑问],[惊讶],[笑声],[确认],1
[不满],[确认],[惊讶],1
[惊讶],[咳嗽],[笑声],1
[咳嗽],[叹气],[迟疑],[不满],1
[咳嗽],[疑问],[不满],1
[呼吸],[迟疑],[笑声],[确认],1
[叹气],[惊讶],[疑问],[笑声],1
[哭声],[确认],1
[不满],[笑声],[疑问],1
[确认],[笑声],[不满],1
[呼吸],[确认],[迟疑],[不满],1
[确认],[疑问],[惊讶],1
[叹气],[吸鼻],[鼓掌],1
[咂嘴],[叹气],[鼓掌],1
[打喷嚏],[呼吸],[哼唱],1
[叹气],[吸鼻],[咳嗽],1
[呻吟],[咳嗽],[鼓掌],1
[吸鼻],[叹气],[咳嗽],1
[打喷嚏],[呻吟],[笑声],1
[叹气],[咂嘴],[鼓掌],1
[呼吸],[嘶声],[打喷嚏],1
[嘶声],[咳嗽],[笑声],1
[笑声],[咳嗽],[吸鼻],1
[呼吸],[笑声],[咂嘴],1
[鼓掌],[哼唱],[呻吟],1
[清嗓],[呼吸],[咂嘴],1
[打喷嚏],[笑声],[嘶声],1
[呼吸],[鼓掌],[咂嘴],1
[鼓掌],[叹气],[呼吸],1
[笑声],[呼吸],[打喷嚏],1
[吸鼻],[笑声],[咳嗽],1
[吸鼻],[清嗓],[呼吸],1
[嘶声],[打喷嚏],[笑声],1
[吸鼻],[呼吸],[咂嘴],1
[叹气],[鼓掌],[咂嘴],1
[呼吸],[打喷嚏],[鼓掌],1
[呼吸],[嘶声],[叹气],1
[鼓掌],[嘶声],[呻吟],1
[嘶声],[鼓掌],[呻吟],1
[呼吸],[鼓掌],[打喷嚏],1
[笑声],[吸鼻],[咳嗽],1
[呻吟],[鼓掌],[嘶声],1
[笑声],[咂嘴],[打喷嚏],1
[哼唱],[吸鼻],[鼓掌],1
[嘶声],[叹气],[鼓掌],1
[咳嗽],[鼓掌],[哼唱],1
[叹气],[咂嘴],[笑声],1
[呼吸],[迟疑],[笑声],[疑问],1
[叹气],[疑问],[确认],1
[笑声],[呼吸],[惊讶],[确认],1
[确认],[呼吸],[不满],[惊讶],1
[叹气],[惊讶],[笑声],[不满],1
[疑问],[呼吸],[笑声],[不满],1
[惊讶],[不满],[确认],[疑问],1
[惊讶],[哭声],1
[惊讶],[不满],[迟疑],[疑问],1
[呼吸],[不满],[惊讶],1
[叹气],[迟疑],[笑声],[呼吸],1
[迟疑],[哭声],1
[迟疑],[不满],[笑声],[疑问],1
[叹气],[哭声],1
[惊讶],[迟疑],[笑声],[不满],1
[呼吸],[笑声],[确认],[惊讶],1
[确认],[迟疑],[惊讶],[呼吸],1
[咳嗽],[迟疑],[笑声],[不满],1
[叹气],[呼吸],[笑声],[疑问],1
[迟疑],[呼吸],[笑声],[确认],1
[鼓掌],[叹气],[嘶声],1
[鼓掌],[嘶声],[叹气],1
[笑声],[鼓掌],[吹口哨],1
[笑声],[叹气],[咂嘴],1
[打喷嚏],[吸鼻],[清嗓],1
[鼓掌],[叹气],[咂嘴],1
[笑声],[清嗓],[咳嗽],1
[呼吸],[吸鼻],[鼓掌],1
[鼓掌],[吸鼻],[呼吸],1
[哼唱],[呼吸],[清嗓],1
[咂嘴],[吹口哨],[哼唱],1
[打喷嚏],[哼唱],[呼吸],1
[呼吸],[叹气],[嘶声],1
[打喷嚏],[笑声],[咂嘴],1
[清嗓],[笑声],[咳嗽],1
[鼓掌],[呼吸],[叹气],1
[哼唱],[鼓掌],[咳嗽],1
[叹气],[笑声],[咂嘴],1
[笑声],[咂嘴],[鼓掌],1
[呻吟],[呼吸],[鼓掌],1
[嘶声],[叹气],[呼吸],1
[打喷嚏],[吸鼻],[呼吸],1
[咂嘴],[呼吸],[清嗓],1
[清嗓],[咳嗽],[笑声],1
[笑声],[鼓掌],[清嗓],1
[鼓掌],[嘶声],[打喷嚏],1
[呼吸],[哼唱],[咂嘴],1
[呻吟],[鼓掌],[哼唱],1
[叹气],[嘶声],[呼吸],1
[打喷嚏],[呼吸],[鼓掌],1
[咳嗽],[吸鼻],[笑声],1
[呼吸],[咂嘴],[吸鼻],1
[咂嘴],[笑声],[呼吸],1
[呻吟],[鼓掌],[呼吸],1
[清嗓],[吸鼻],[呼吸],1
[吹口哨],[倒吸气],[嘘声],1
[咂嘴],[哼唱],[打喷嚏],1
[嘶声],[吹口哨],[嘘声],1
[呻吟],[哈欠],[嘶声],1
[倒吸气],[嘶声],[打喷嚏],1
[嘶声],[嘘声],[倒吸气],1
[打喷嚏],[呻吟],[倒吸气],1
[打喷嚏],[嘘声],[哈欠],1
[嘘声],[哼唱],[哈欠],1
[哈欠],[吹口哨],[呻吟],1
[吹口哨],[咂嘴],[哈欠],1
[哼唱],[哈欠],[打鼾],1
[嘶声],[哈欠],[倒吸气],1
[嘶声],[打鼾],[呻吟],1
[咂嘴],[呻吟],[哼唱],1
[吹口哨],[嘶声],[哼唱],1
[倒吸气],[嘶声],[打鼾],1
[嘶声],[倒吸气],[打鼾],1
[倒吸气],[呻吟],[嘶声],1
[打喷嚏],[嘘声],[打鼾],1
[打喷嚏],[吹口哨],[打鼾],1
[嘶声],[嘘声],[打喷嚏],1
[嘶声],[嘘声],[哈欠],1
[打鼾],[吹口哨],[嘘声],1
[嘶声],[哼唱],[哈欠],1
[嘘声],[倒吸气],[哼唱],1
[嘶声],[哼唱],[咂嘴],1
[打喷嚏],[嘶声],[嘘声],1
[咂嘴],[吹口哨],[倒吸气],1
[哈欠],[嘘声],[呻吟],1
[吹口哨],[倒吸气],[哼唱],1
[呻吟],[打喷嚏],[哈欠],1
[打喷嚏],[哈欠],[打鼾],1
[倒吸气],[哼唱],[打喷嚏],1
[吹口哨],[呻吟],[打鼾],1
[哈欠],[打鼾],[咂嘴],1
[呻吟],[嘘声],[哼唱],1
[打鼾],[吹口哨],[呻吟],1
[咂嘴],[打鼾],[呻吟],1
[嘶声],[倒吸气],[哈欠],1
[嘶声],[哼唱],[吹口哨],1
[吹口哨],[咂嘴],[打鼾],1
[打喷嚏],[打鼾],[嘶声],1
[咂嘴],[打鼾],[哈欠],1
[哈欠],[打鼾],[打喷嚏],1
[打喷嚏],[呻吟],[嘶声],1
[嘶声],[咂嘴],[呻吟],1
[打喷嚏],[呻吟],[哈欠],1
[咂嘴],[打喷嚏],[倒吸气],1
[倒吸气],[嘶声],[哈欠],1
[打鼾],[嘘声],[哈欠],1
[咂嘴],[打喷嚏],[打鼾],1
[嘶声],[呻吟],[倒吸气],1
[倒吸气],[咂嘴],[嘶声],1
[吹口哨],[哈欠],[倒吸气],1
[打喷嚏],[咂嘴],[嘶声],1
[呻吟],[咂嘴],[打喷嚏],1
[倒吸气],[打喷嚏],[嘶声],1
[咂嘴],[呻吟],[吹口哨],1
[呻吟],[吹口哨],[哼唱],1
[咂嘴],[打鼾],[嘶声],1
[倒吸气],[嘘声],[吹口哨],1
[呻吟],[倒吸气],[哼唱],1
[倒吸气],[咂嘴],[打喷嚏],1
[哈欠],[呻吟],[打鼾],1
[呻吟],[哼唱],[打鼾],1
[打喷嚏],[打鼾],[倒吸气],1
[嘶声],[打鼾],[吹口哨],1
[吹口哨],[打鼾],[咂嘴],1
[嘘声],[哼唱],[呻吟],1
[吹口哨],[哈欠],[咂嘴],1
[打喷嚏],[哼唱],[吹口哨],1
[打喷嚏],[嘘声],[倒吸气],1
[哼唱],[咂嘴],[打喷嚏],1
[倒吸气],[哈欠],[咂嘴],1
[咂嘴],[吹口哨],[嘶声],1
[哼唱],[咂嘴],[哈欠],1
[哈欠],[吹口哨],[嘶声],1
[嘶声],[哈欠],[咂嘴],1
[嘘声],[哈欠],[呻吟],1
[打喷嚏],[嘘声],[咂嘴],1
[打鼾],[嘘声],[哼唱],1
[打鼾],[咂嘴],[呻吟],1
[吹口哨],[打鼾],[嘘声],1
[倒吸气],[吹口哨],[哼唱],1
[倒吸气],[吹口哨],[嘶声],1
[打喷嚏],[嘶声],[呻吟],1
[打喷嚏],[哈欠],[咂嘴],1
[嘘声],[哈欠],[哼唱],1
[打喷嚏],[倒吸气],[哼唱],1
[嘶声],[打喷嚏],[嘘声],1
[打喷嚏],[呻吟],[嘘声],1
[打喷嚏],[嘘声],[吹口哨],1
[嘶声],[嘘声],[打鼾],1
[倒吸气],[打鼾],[咂嘴],1
[嘘声],[哈欠],[嘶声],1
[吹口哨],[打喷嚏],[哼唱],1
[嘶声],[哼唱],[打喷嚏],1
[嘶声],[咂嘴],[打鼾],1
[打喷嚏],[呻吟],[打鼾],1
[呻吟],[倒吸气],[嘘声],1
[打喷嚏],[哼唱],[打鼾],1
[打喷嚏],[哈欠],[嘶声],1
[打喷嚏],[哼唱],[倒吸气],1
[倒吸气],[吹口哨],[哈欠],1
[哼唱],[咂嘴],[嘶声],1
[嘘声],[打喷嚏],[哼唱],1
[倒吸气],[哈欠],[嘘声],1
[嘶声],[咂嘴],[嘘声],1
[倒吸气],[呻吟],[哈欠],1
[嘶声],[哈欠],[打喷嚏],1
[嘶声],[哈欠],[哼唱],1
[吹口哨],[打鼾],[哼唱],1
[打鼾],[哈欠],[哼唱],1
[嘶声],[哈欠],[打鼾],1
[哈欠],[嘘声],[打鼾],1
[打喷嚏],[打鼾],[哈欠],1
[嘶声],[倒吸气],[打喷嚏],1
[嘶声],[打鼾],[打喷嚏],1
[嘶声],[呻吟],[打喷嚏],1
[嘶声],[哼唱],[嘘声],1
[吹口哨],[嘶声],[哈欠],1
[咂嘴],[哼唱],[嘘声],1
[咂嘴],[吹口哨],[打喷嚏],1
[倒吸气],[打喷嚏],[哈欠],1
[咂嘴],[打喷嚏],[吹口哨],1
[哈欠],[哼唱],[呻吟],1
[咂嘴],[哼唱],[呻吟],1
[哈欠],[打鼾],[吹口哨],1
[打喷嚏],[嘶声],[哼唱],1
[倒吸气],[哈欠],[打鼾],1
[倒吸气],[呻吟],[打喷嚏],1
[吹口哨],[哼唱],[嘶声],1
[呻吟],[咂嘴],[嘘声],1
[呻吟],[倒吸气],[打鼾],1
[哼唱],[咂嘴],[倒吸气],1
[吹口哨],[哼唱],[咂嘴],1
[倒吸气],[哼唱],[呻吟],1
[倒吸气],[打鼾],[嘘声],1
[打喷嚏],[嘘声],[嘶声],1
[嘶声],[打喷嚏],[哼唱],1
[哼唱],[打鼾],[哈欠],1
[打鼾],[咂嘴],[打喷嚏],1
[咂嘴],[吹口哨],[打鼾],1
