# VoxCPM 非语言声音类别完整列表

总数据量: 273,424 条
624    [打鼾],[哼唱],[嘘声]                               3
625    [哼唱],[呻吟],[倒吸气]                              3
626    [嘘声],[倒吸气],[呻吟]                              3
627    [哈欠],[打鼾],[倒吸气]                              3
628    [打鼾],[打喷嚏],[哼唱]                              3
629    [嘘声],[嘶声],[打鼾]                               3
630    [哈欠],[嘘声],[嘶声]                               3
631    [倒吸气],[打喷嚏],[嘘声]                             3
632    [嘘声],[咂嘴],[哈欠]                               3
633    [哈欠],[吹口哨],[咂嘴]                              3
634    [打喷嚏],[嘶声],[倒吸气]                             3
635    [呻吟],[哈欠],[咂嘴]                               3
636    [哼唱],[打鼾],[嘶声]                               3
637    [嘶声],[倒吸气],[嘘声]                              3
638    [吹口哨],[嘶声],[打鼾]                              3
639    [倒吸气],[哼唱],[咂嘴]                              3
640    [呻吟],[嘘声],[吹口哨]                              3
641    [嘶声],[打鼾],[倒吸气]                              3
642    [吹口哨],[倒吸气],[嘶声]                             3
643    [嘘声],[呻吟],[打鼾]                               3
644    [嘘声],[咂嘴],[打鼾]                               3
645    [打鼾],[咂嘴],[嘶声]                               3
646    [哼唱],[打喷嚏],[嘘声]                              3
647    [嘶声],[打喷嚏],[吹口哨]                             3
648    [哼唱],[咂嘴],[呻吟]                               3
649    [哈欠],[吹口哨],[嘘声]                              3
650    [倒吸气],[嘶声],[吹口哨]                             3
651    [哼唱],[打喷嚏],[打鼾]                              3
652    [打鼾],[哼唱],[呻吟]                               3
653    [打鼾],[嘘声],[呻吟]                               3
654    [嘘声],[呻吟],[打喷嚏]                              3
655    [嘶声],[呻吟],[哼唱]                               3
656    [倒吸气],[咂嘴],[呻吟]                              3
657    [呻吟],[哈欠],[哼唱]                               3
658    [吹口哨],[咂嘴],[嘶声]                              3
659    [呻吟],[嘘声],[嘶声]                               3
660    [吹口哨],[打喷嚏],[嘶声]                             3
661    [哈欠],[倒吸气],[打鼾]                              3
662    [嘘声],[打鼾],[哼唱]                               3
663    [咳嗽],[迟疑],[呼吸]                               2
664    [确认],[笑声],[疑问]                               2
665    [笑声],[疑问],[迟疑]                               2
666    [惊讶],[疑问],[迟疑],[笑声]                          2
667    [惊讶],[笑声],[确认],[疑问]                          2
668    [迟疑],[惊讶],[笑声],[疑问]                          2
669    [确认],[呼吸],[疑问]                               2
670    [咳嗽],[疑问],[惊讶]                               2
671    [咳嗽],[叹气],[迟疑]                               2
672    [嘶声],[呼吸],[吹口哨]                              2
673    [笑声],[吹口哨],[打喷嚏]                             2
674    [鼓掌],[吸鼻],[哼唱]                               2
675    [呻吟],[笑声],[吹口哨]                              2
676    [呻吟],[嘶声],[呼吸]                               2
677    [吸鼻],[鼓掌],[呼吸]                               2
678    [清嗓],[叹气]                                    2
679    [哼唱],[笑声],[咂嘴]                               2
680    [哼唱],[咳嗽],[鼓掌]                               2
681    [吸鼻],[清嗓],[打喷嚏]                              2
682    [嘶声],[吸鼻]                                    2
683    [嘶声],[清嗓]                                    2
684    [嘶声],[吹口哨],[呻吟]                              2
685    [吸鼻],[吹口哨],[鼓掌]                              2
686    [打喷嚏],[笑声]                                   2
687    [笑声],[吹口哨],[呻吟]                              2
688    [吹口哨],[鼓掌],[吸鼻]                              2
689    [笑声],[呼吸],[鼓掌]                               2
690    [哼唱],[咂嘴],[呼吸]                               2
691    [笑声],[打喷嚏],[咳嗽]                              2
692    [鼓掌],[咳嗽],[哼唱]                               2
693    [呼吸],[哼唱],[打喷嚏]                              2
694    [吸鼻],[呼吸],[鼓掌]                               2
695    [哼唱],[呻吟],[打喷嚏]                              2
696    [咳嗽],[呻吟]                                    2
697    [鼓掌],[哼唱],[呼吸]                               2
698    [吹口哨],[呻吟],[笑声]                              2
699    [吹口哨],[鼓掌],[呻吟]                              2
700    [呼吸],[不满],[疑问]                               2
701    [叹气],[疑问],[笑声]                               2
702    [咳嗽],[呼吸],[惊讶]                               2
703    [笑声],[确认],[疑问]                               2
704    [呼吸],[笑声],[不满]                               2
705    [确认],[惊讶],[疑问]                               2
706    [叹气],[不满],[疑问]                               2
707    [迟疑],[不满],[疑问]                               2
708    [疑问],[迟疑],[呼吸]                               2
709    [咳嗽],[笑声],[惊讶]                               2
710    [叹气],[迟疑],[不满]                               2
711    [叹气],[确认],[疑问]                               2
712    [疑问],[叹气],[迟疑]                               2
713    [叹气],[迟疑],[确认],[惊讶]                          2
714    [惊讶],[疑问],[笑声]                               2
715    [咳嗽],[迟疑],[惊讶],[笑声]                          2
716    [笑声],[不满],[疑问]                               2
717    [咳嗽],[哭声]                                    2
718    [鼓掌],[咳嗽],[吹口哨]                              2
719    [咳嗽],[哼唱]                                    2
720    [呼吸],[呻吟],[清嗓]                               2
721    [呼吸],[鼓掌],[哼唱]                               2
722    [咳嗽],[笑声],[打喷嚏]                              2
723    [吹口哨],[咳嗽],[鼓掌]                              2
724    [笑声],[吹口哨],[鼓掌]                              2
725    [嘶声],[吹口哨],[呼吸]                              2
726    [哼唱],[呼吸],[鼓掌]                               2
727    [吸鼻],[笑声]                                    2
728    [呻吟],[鼓掌],[打喷嚏]                              2
729    [鼓掌],[咳嗽]                                    2
730    [清嗓],[呼吸],[哼唱]                               2
731    [鼓掌],[呼吸],[吸鼻]                               2
732    [哼唱],[清嗓]                                    2
733    [嘘声],[笑声]                                    2
734    [疑问],[咳嗽]                                    2
735    [惊讶],[疑问],[迟疑]                               2
736    [疑问],[呼吸],[笑声]                               2
737    [迟疑],[惊讶],[呼吸],[疑问]                          2
738    [吸鼻],[哼唱]                                    2
739    [呻吟],[鼓掌]                                    2
740    [笑声],[咂嘴]                                    2
741    [鼓掌],[吸鼻],[吹口哨]                              2
742    [叹气],[吹口哨],[鼓掌]                              2
743    [咂嘴],[叹气]                                    2
744    [吹口哨],[叹气],[鼓掌]                              2
745    [鼓掌],[吹口哨],[吸鼻]                              2
746    [打喷嚏],[呻吟],[哼唱]                              2
747    [哼唱],[吹口哨],[笑声]                              2
748    [鼓掌],[呼吸],[哼唱]                               2
749    [打喷嚏],[哼唱],[呻吟]                              2
750    [咳嗽],[打喷嚏],[笑声]                              2
751    [吹口哨],[笑声],[打喷嚏]                             2
752    [呻吟],[吹口哨],[笑声]                              2
753    [鼓掌],[呼吸],[笑声]                               2
754    [哼唱],[笑声]                                    2
755    [咂嘴],[呼吸],[哼唱]                               2
756    [咳嗽],[哼唱],[鼓掌]                               2
757    [叹气],[迟疑],[笑声],[不满]                          2
758    [咳嗽],[呼吸],[确认]                               2
759    [疑问],[呼吸],[惊讶]                               2
760    [疑问],[笑声],[确认]                               2
761    [疑问],[笑声],[呼吸]                               2
762    [哼唱],[笑声],[吹口哨]                              2
763    [打喷嚏],[清嗓]                                   2
764    [咳嗽],[咂嘴]                                    2
765    [咳嗽],[嘶声]                                    2
766    [鼓掌],[叹气],[吹口哨]                              2
767    [呼吸],[打喷嚏],[笑声]                              2
768    [吹口哨],[叹气],[呼吸]                              2
769    [呼吸],[呻吟],[嘶声]                               2
770    [叹气],[疑问],[迟疑],[惊讶]                          2
771    [确认],[迟疑],[不满]                               2
772    [打喷嚏],[咳嗽],[笑声]                              2
773    [咂嘴],[哼唱],[笑声]                               2
774    [惊讶],[叹气],[笑声]                               2
775    [吹口哨],[笑声],[哼唱]                              2
776    [嘘声],[咂嘴],[打喷嚏]                              2
777    [打喷嚏],[哈欠],[倒吸气]                             2
778    [倒吸气],[吹口哨],[嘘声]                             2
779    [哈欠],[嘘声],[哼唱]                               2
780    [嘘声],[打喷嚏],[吹口哨]                             2
781    [吹口哨],[打喷嚏],[倒吸气]                            2
782    [吹口哨],[咂嘴],[嘘声]                              2
783    [哼唱],[哈欠],[咂嘴]                               2
784    [咂嘴],[嘶声],[呻吟]                               2
785    [吹口哨],[咂嘴],[打喷嚏]                             2
786    [倒吸气],[呻吟],[哼唱]                              2
787    [嘘声],[打鼾],[呻吟]                               2
788    [哼唱],[哈欠],[吹口哨]                              2
789    [哼唱],[吹口哨],[呻吟]                              2
790    [嘘声],[吹口哨],[哼唱]                              2
791    [呻吟],[嘶声],[打喷嚏]                              2
792    [呻吟],[哈欠],[吹口哨]                              2
793    [打鼾],[咂嘴],[哼唱]                               2
794    [咂嘴],[哼唱],[吹口哨]                              2
795    [打鼾],[嘶声],[嘘声]                               2
796    [呻吟],[打鼾],[嘘声]                               2
797    [哈欠],[打鼾],[呻吟]                               2
798    [倒吸气],[咂嘴],[哈欠]                              2
799    [哈欠],[打鼾],[嘘声]                               2
800    [打鼾],[哈欠],[呻吟]                               2
801    [吹口哨],[嘘声],[倒吸气]                             2
802    [哼唱],[打鼾],[吹口哨]                              2
803    [咂嘴],[哼唱],[嘶声]                               2
804    [咂嘴],[嘘声],[哼唱]                               2
805    [嘶声],[吹口哨],[哼唱]                              2
806    [吹口哨],[嘘声],[呻吟]                              2
807    [呻吟],[哈欠],[打鼾]                               2
808    [嘶声],[打鼾],[咂嘴]                               2
809    [打鼾],[哈欠],[嘶声]                               2
810    [嘶声],[咂嘴],[倒吸气]                              2
811    [嘶声],[呻吟],[咂嘴]                               2
812    [哼唱],[哈欠],[倒吸气]                              2
813    [吹口哨],[咂嘴],[倒吸气]                             2
814    [呻吟],[哼唱],[嘶声]                               2
815    [哈欠],[打喷嚏],[呻吟]                              2
816    [嘘声],[呻吟],[哼唱]                               2
817    [吹口哨],[呻吟],[打喷嚏]                             2
818    [嘘声],[咂嘴],[吹口哨]                              2
819    [嘘声],[打喷嚏],[哈欠]                              2
820    [打鼾],[咂嘴],[倒吸气]                              2
821    [倒吸气],[吹口哨],[打喷嚏]                            2
822    [吹口哨],[打鼾],[倒吸气]                             2
823    [嘘声],[呻吟],[咂嘴]                               2
824    [吹口哨],[嘘声],[打鼾]                              2
825    [吹口哨],[哼唱],[打喷嚏]                             2
826    [打鼾],[咂嘴],[哈欠]                               2
827    [打喷嚏],[嘶声],[打鼾]                              2
828    [哼唱],[呻吟],[咂嘴]                               2
829    [倒吸气],[哼唱],[吹口哨]                             2
830    [呻吟],[倒吸气],[嘶声]                              2
831    [呻吟],[打鼾],[哈欠]                               2
832    [倒吸气],[嘶声],[哼唱]                              2
833    [呻吟],[咂嘴],[哼唱]                               2
834    [打喷嚏],[倒吸气],[嘘声]                             2
835    [嘶声],[打鼾],[嘘声]                               2
836    [嘘声],[打喷嚏],[嘶声]                              2
837    [吹口哨],[嘶声],[嘘声]                              2
838    [咂嘴],[呻吟],[嘶声]                               2
839    [打鼾],[嘶声],[咂嘴]                               2
840    [嘶声],[咂嘴],[哈欠]                               2
841    [吹口哨],[倒吸气],[打鼾]                             2
842    [倒吸气],[嘘声],[打喷嚏]                             2
843    [哼唱],[嘘声],[吹口哨]                              2
844    [嘘声],[嘶声],[打喷嚏]                              2
845    [呻吟],[打鼾],[打喷嚏]                              2
846    [打喷嚏],[嘶声],[哈欠]                              2
847    [嘶声],[吹口哨],[打鼾]                              2
848    [吹口哨],[嘘声],[打喷嚏]                             2
849    [哼唱],[倒吸气],[哈欠]                              2
850    [哼唱],[哈欠],[呻吟]                               2
851    [呻吟],[咂嘴],[倒吸气]                              2
852    [打喷嚏],[咂嘴],[倒吸气]                             2
853    [嘘声],[哼唱],[打鼾]                               2
854    [打喷嚏],[打鼾],[咂嘴]                              2
855    [哼唱],[打鼾],[嘘声]                               2
856    [哈欠],[咂嘴],[哼唱]                               2
857    [打鼾],[打喷嚏],[嘘声]                              2
858    [呻吟],[打鼾],[哼唱]                               2
859    [打喷嚏],[倒吸气],[吹口哨]                            2
860    [倒吸气],[咂嘴],[哼唱]                              2
861    [嘶声],[打喷嚏],[呻吟]                              2
862    [哈欠],[倒吸气],[哼唱]                              2
863    [倒吸气],[吹口哨],[呻吟]                             2
864    [哈欠],[嘶声],[打鼾]                               2
865    [打鼾],[哼唱],[哈欠]                               2
866    [咂嘴],[嘘声],[打鼾]                               2
867    [咂嘴],[嘘声],[嘶声]                               2
868    [嘘声],[咂嘴],[哼唱]                               2
869    [咂嘴],[哼唱],[倒吸气]                              2
870    [咂嘴],[倒吸气],[嘘声]                              2
871    [呻吟],[哈欠],[嘘声]                               2
872    [嘘声],[咂嘴],[倒吸气]                              2
873    [嘘声],[倒吸气],[哈欠]                              2
874    [吹口哨],[打鼾],[嘶声]                              2
875    [哈欠],[打鼾],[嘶声]                               2
876    [嘘声],[呻吟],[嘶声]                               2
877    [咂嘴],[嘘声],[呻吟]                               2
878    [嘘声],[哈欠],[吹口哨]                              2
879    [倒吸气],[呻吟],[打鼾]                              2
880    [嘶声],[嘘声],[哼唱]                               2
881    [呻吟],[嘶声],[嘘声]                               2
882    [打鼾],[嘶声],[哈欠]                               2
883    [哼唱],[嘶声],[打鼾]                               2
884    [哈欠],[呻吟],[哼唱]                               2
885    [吹口哨],[打喷嚏],[嘘声]                             2
886    [哼唱],[嘶声],[嘘声]                               2
887    [打喷嚏],[呻吟],[吹口哨]                             2
888    [嘶声],[嘘声],[咂嘴]                               2
889    [嘶声],[咂嘴],[吹口哨]                              2
890    [打喷嚏],[哼唱],[哈欠]                              2
891    [打鼾],[嘘声],[倒吸气]                              2
892    [哼唱],[咂嘴],[打鼾]                               2
893    [吹口哨],[打鼾],[打喷嚏]                             2
894    [哈欠],[打喷嚏],[打鼾]                              2
895    [呻吟],[咂嘴],[嘶声]                               2
896    [嘘声],[打喷嚏],[打鼾]                              2
897    [呻吟],[打鼾],[倒吸气]                              2
898    [疑问],[叹气],[呼吸]                               1
899    [咳嗽],[叹气],[笑声]                               1
900    [疑问],[叹气],[不满]                               1
901    [咳嗽],[确认],[惊讶]                               1
902    [疑问],[呼吸],[笑声],[惊讶]                          1
903    [惊讶],[迟疑],[不满],[呼吸]                          1
904    [确认],[不满],[疑问]                               1
905    [呼吸],[疑问],[不满]                               1
906    [叹气],[惊讶],[呼吸],[迟疑]                          1
907    [疑问],[叹气],[笑声]                               1
908    [疑问],[呼吸],[迟疑],[惊讶]                          1
909    [确认],[呼吸],[笑声],[不满]                          1
910    [咳嗽],[笑声],[确认]                               1
911    [惊讶],[叹气],[疑问]                               1
912    [嘶声],[打喷嚏],[鼓掌]                              1
913    [呼吸],[哼唱],[鼓掌]                               1
914    [清嗓],[打喷嚏],[吸鼻]                              1
915    [哼唱],[打喷嚏],[呼吸]                              1
916    [笑声],[打喷嚏],[呻吟]                              1
917    [呻吟],[鼓掌],[吹口哨]                              1
918    [嘶声],[呼吸],[叹气]                               1
919    [嘶声],[鼓掌],[打喷嚏]                              1
920    [打喷嚏],[笑声],[咳嗽]                              1
921    [吸鼻],[鼓掌],[吹口哨]                              1
922    [嘶声],[笑声],[咳嗽]                               1
923    [吹口哨],[咂嘴],[哼唱]                              1
924    [呻吟],[呼吸],[清嗓]                               1
925    [鼓掌],[吸鼻],[叹气]                               1
926    [咂嘴],[呼吸],[笑声]                               1
927    [吹口哨],[笑声],[呻吟]                              1
928    [清嗓],[哼唱]                                    1
929    [鼓掌],[呻吟],[打喷嚏]                              1
930    [咂嘴],[鼓掌],[笑声]                               1
931    [咳嗽],[笑声],[吸鼻]                               1
932    [打喷嚏],[嘶声],[呼吸]                              1
933    [叹气],[呼吸],[鼓掌]                               1
934    [呼吸],[鼓掌],[呻吟]                               1
935    [鼓掌],[笑声],[吹口哨]                              1
936    [鼓掌],[吹口哨],[叹气]                              1
937    [呻吟],[鼓掌],[咳嗽]                               1
938    [鼓掌],[打喷嚏],[呻吟]                              1
939    [呼吸],[吹口哨],[叹气]                              1
940    [咳嗽],[笑声],[嘶声]                               1
941    [呻吟],[吹口哨],[鼓掌]                              1
942    [打喷嚏],[呼吸],[吸鼻]                              1
943    [惊讶],[咳嗽],[迟疑]                               1
944    [迟疑],[呼吸],[笑声],[不满]                          1
945    [迟疑],[疑问],[呼吸],[惊讶]                          1
946    [咳嗽],[叹气],[呼吸]                               1
947    [疑问],[确认],[迟疑],[呼吸]                          1
948    [惊讶],[疑问],[不满]                               1
949    [迟疑],[呼吸],[笑声],[惊讶]                          1
950    [咳嗽],[呼吸],[不满]                               1
951    [叹气],[呼吸],[迟疑],[确认]                          1
952    [叹气],[迟疑],[疑问],[惊讶]                          1
953    [笑声],[不满],[惊讶]                               1
954    [惊讶],[迟疑],[疑问],[笑声]                          1
955    [咳嗽],[呼吸],[疑问]                               1
956    [呼吸],[咳嗽],[惊讶],[确认]                          1
957    [笑声],[咳嗽],[清嗓]                               1
958    [笑声],[吹口哨],[哼唱]                              1
959    [叹气],[嘶声],[鼓掌]                               1
960    [呼吸],[哼唱],[清嗓]                               1
961    [鼓掌],[咂嘴],[呼吸]                               1
962    [吸鼻],[打喷嚏],[呼吸]                              1
963    [咂嘴],[叹气],[笑声]                               1
964    [呼吸],[叹气],[吹口哨]                              1
965    [吹口哨],[笑声],[鼓掌]                              1
966    [打喷嚏],[笑声],[呼吸]                              1
967    [呻吟],[哼唱],[鼓掌]                               1
968    [呼吸],[嘶声],[吹口哨]                              1
969    [哼唱],[清嗓],[呼吸]                               1
970    [嘶声],[笑声],[打喷嚏]                              1
971    [笑声],[咂嘴],[呼吸]                               1
972    [打喷嚏],[鼓掌],[嘶声]                              1
973    [咂嘴],[笑声],[鼓掌]                               1
974    [呻吟],[笑声],[打喷嚏]                              1
975    [笑声],[呻吟],[打喷嚏]                              1
976    [清嗓],[吸鼻],[打喷嚏]                              1
977    [打喷嚏],[叹气],[鼓掌]                              1
978    [打喷嚏],[呻吟],[鼓掌]                              1
979    [呼吸],[打喷嚏],[咂嘴]                              1
980    [吹口哨],[鼓掌],[咳嗽]                              1
981    [鼓掌],[笑声],[咂嘴]                               1
982    [笑声],[清嗓],[鼓掌]                               1
983    [打喷嚏],[呼吸],[咂嘴]                              1
984    [呻吟],[清嗓],[呼吸]                               1
985    [吹口哨],[呼吸],[嘶声]                              1
986    [咂嘴],[清嗓],[呼吸]                               1
987    [叹气],[鼓掌],[呼吸]                               1
988    [笑声],[咂嘴],[叹气]                               1
989    [叹气],[鼓掌],[吸鼻]                               1
990    [呼吸],[叹气],[鼓掌]                               1
991    [呼吸],[咂嘴],[清嗓]                               1
992    [笑声],[打喷嚏],[嘶声]                              1
993    [吸鼻],[呼吸],[清嗓]                               1
994    [清嗓],[呼吸],[吸鼻]                               1
995    [嘘声],[确认],[疑问]                               1
996    [呼吸],[不满],[确认],[惊讶]                          1
997    [笑声],[迟疑],[呼吸],[惊讶]                          1
998    [迟疑],[惊讶],[确认],[疑问]                          1
999    [笑声],[疑问],[惊讶]                               1
1000   [迟疑],[呼吸],[笑声],[疑问]                          1
1001   [迟疑],[疑问],[笑声]                               1
1002   [笑声],[呼吸],[迟疑],[惊讶]                          1
1003   [惊讶],[迟疑],[笑声],[呼吸]                          1
1004   [惊讶],[迟疑],[笑声],[疑问]                          1
1005   [迟疑],[疑问],[笑声],[不满]                          1
1006   [疑问],[惊讶],[确认]                               1
1007   [迟疑],[疑问],[确认]                               1
1008   [确认],[迟疑],[笑声],[不满]                          1
1009   [咳嗽],[惊讶],[呼吸]                               1
1010   [不满],[迟疑],[确认],[惊讶]                          1
1011   [疑问],[笑声],[不满]                               1
1012   [呼吸],[确认],[惊讶],[疑问]                          1
1013   [疑问],[呼吸],[确认]                               1
1014   [咳嗽],[叹气],[不满]                               1
1015   [嘘声],[呼吸],[笑声]                               1
1016   [吹口哨],[嘶声],[呼吸]                              1
1017   [嘶声],[鼓掌],[叹气]                               1
1018   [哼唱],[呻吟],[鼓掌]                               1
1019   [咳嗽],[呻吟],[鼓掌]                               1
1020   [笑声],[哼唱],[吹口哨]                              1
1021   [咂嘴],[鼓掌],[呼吸]                               1
1022   [咳嗽],[鼓掌],[吹口哨]                              1
1023   [鼓掌],[呻吟],[嘶声]                               1
1024   [鼓掌],[叹气],[打喷嚏]                              1
1025   [咂嘴],[打喷嚏],[呼吸]                              1
1026   [吸鼻],[呼吸],[打喷嚏]                              1
1027   [呼吸],[咂嘴],[鼓掌]                               1
1028   [吸鼻],[咳嗽],[叹气]                               1
1029   [打喷嚏],[吹口哨],[笑声]                             1
1030   [鼓掌],[叹气],[吸鼻]                               1
1031   [嘶声],[呼吸],[呻吟]                               1
1032   [鼓掌],[哼唱],[咳嗽]                               1
1033   [嘶声],[打喷嚏],[呼吸]                              1
1034   [鼓掌],[吹口哨],[呻吟]                              1
1035   [呼吸],[清嗓],[吸鼻]                               1
1036   [打喷嚏],[嘶声],[笑声]                              1
1037   [打喷嚏],[呼吸],[笑声]                              1
1038   [鼓掌],[打喷嚏],[呼吸]                              1
1039   [打喷嚏],[嘶声],[鼓掌]                              1
1040   [咂嘴],[呼吸],[吸鼻]                               1
1041   [咂嘴],[呼吸],[鼓掌]                               1
1042   [咂嘴],[笑声],[打喷嚏]                              1
1043   [鼓掌],[笑声],[清嗓]                               1
1044   [咳嗽],[叹气],[吸鼻]                               1
1045   [吸鼻],[叹气],[鼓掌]                               1
1046   [嘶声],[呻吟],[鼓掌]                               1
1047   [咳嗽],[迟疑],[笑声],[确认]                          1
1048   [呼吸],[哭声],[不满]                               1
1049   [确认],[呼吸],[笑声],[疑问]                          1
1050   [疑问],[惊讶],[笑声]                               1
1051   [迟疑],[笑声],[不满],[惊讶]                          1
1052   [疑问],[不满],[笑声],[确认]                          1
1053   [笑声],[鼓掌],[咂嘴]                               1
1054   [鼓掌],[呻吟],[呼吸]                               1
1055   [鼓掌],[呻吟],[咳嗽]                               1
1056   [鼓掌],[咂嘴],[叹气]                               1
1057   [哼唱],[呼吸],[咂嘴]                               1
1058   [打喷嚏],[笑声],[呻吟]                              1
1059   [哼唱],[鼓掌],[呼吸]                               1
1060   [鼓掌],[清嗓],[笑声]                               1
1061   [笑声],[嘶声],[咳嗽]                               1
1062   [呼吸],[清嗓],[咂嘴]                               1
1063   [清嗓],[鼓掌],[笑声]                               1
1064   [笑声],[咳嗽],[嘶声]                               1
1065   [笑声],[嘶声],[打喷嚏]                              1
1066   [清嗓],[呼吸],[呻吟]                               1
1067   [呼吸],[咂嘴],[打喷嚏]                              1
1068   [叹气],[咳嗽],[吸鼻]                               1
1069   [呼吸],[吸鼻],[咂嘴]                               1
1070   [鼓掌],[打喷嚏],[叹气]                              1
1071   [笑声],[咳嗽],[打喷嚏]                              1
1072   [咂嘴],[哼唱],[呼吸]                               1
1073   [叹气],[鼓掌],[吹口哨]                              1
1074   [咂嘴],[吸鼻],[呼吸]                               1
1075   [咳嗽],[清嗓],[笑声]                               1
1076   [呼吸],[打喷嚏],[嘶声]                              1
1077   [吹口哨],[呼吸],[叹气]                              1
1078   [呼吸],[呻吟],[鼓掌]                               1
1079   [叹气],[打喷嚏],[鼓掌]                              1
1080   [打喷嚏],[咂嘴],[笑声]                              1
1081   [呼吸],[打喷嚏],[吸鼻]                              1
1082   [鼓掌],[吹口哨],[笑声]                              1
1083   [笑声],[咂嘴],[哼唱]                               1
1084   [鼓掌],[咳嗽],[呻吟]                               1
1085   [打喷嚏],[鼓掌],[呼吸]                              1
1086   [鼓掌],[哼唱],[吸鼻]                               1
1087   [鼓掌],[呻吟],[哼唱]                               1
1088   [叹气],[鼓掌],[打喷嚏]                              1
1089   [呼吸],[咂嘴],[笑声]                               1
1090   [嘘声],[迟疑],[疑问]                               1
1091   [呼吸],[惊讶],[笑声],[不满]                          1
1092   [嘘声],[呼吸],[惊讶]                               1
1093   [咳嗽],[惊讶],[不满]                               1
1094   [惊讶],[呼吸],[迟疑],[确认]                          1
1095   [惊讶],[呼吸],[确认]                               1
1096   [惊讶],[呼吸],[迟疑],[疑问]                          1
1097   [呼吸],[迟疑],[疑问],[惊讶]                          1
1098   [疑问],[确认],[笑声]                               1
1099   [疑问],[惊讶],[笑声],[确认]                          1
1100   [不满],[确认],[惊讶]                               1
1101   [惊讶],[咳嗽],[笑声]                               1
1102   [咳嗽],[叹气],[迟疑],[不满]                          1
1103   [咳嗽],[疑问],[不满]                               1
1104   [呼吸],[迟疑],[笑声],[确认]                          1
1105   [叹气],[惊讶],[疑问],[笑声]                          1
1106   [哭声],[确认]                                    1
1107   [不满],[笑声],[疑问]                               1
1108   [确认],[笑声],[不满]                               1
1109   [呼吸],[确认],[迟疑],[不满]                          1
1110   [确认],[疑问],[惊讶]                               1
1111   [叹气],[吸鼻],[鼓掌]                               1
1112   [咂嘴],[叹气],[鼓掌]                               1
1113   [打喷嚏],[呼吸],[哼唱]                              1
1114   [叹气],[吸鼻],[咳嗽]                               1
1115   [呻吟],[咳嗽],[鼓掌]                               1
1116   [吸鼻],[叹气],[咳嗽]                               1
1117   [打喷嚏],[呻吟],[笑声]                              1
1118   [叹气],[咂嘴],[鼓掌]                               1
1119   [呼吸],[嘶声],[打喷嚏]                              1
1120   [嘶声],[咳嗽],[笑声]                               1
1121   [笑声],[咳嗽],[吸鼻]                               1
1122   [呼吸],[笑声],[咂嘴]                               1
1123   [鼓掌],[哼唱],[呻吟]                               1
1124   [清嗓],[呼吸],[咂嘴]                               1
1125   [打喷嚏],[笑声],[嘶声]                              1
1126   [呼吸],[鼓掌],[咂嘴]                               1
1127   [鼓掌],[叹气],[呼吸]                               1
1128   [笑声],[呼吸],[打喷嚏]                              1
1129   [吸鼻],[笑声],[咳嗽]                               1
1130   [吸鼻],[清嗓],[呼吸]                               1
1131   [嘶声],[打喷嚏],[笑声]                              1
1132   [吸鼻],[呼吸],[咂嘴]                               1
1133   [叹气],[鼓掌],[咂嘴]                               1
1134   [呼吸],[打喷嚏],[鼓掌]                              1
1135   [呼吸],[嘶声],[叹气]                               1
1136   [鼓掌],[嘶声],[呻吟]                               1
1137   [嘶声],[鼓掌],[呻吟]                               1
1138   [呼吸],[鼓掌],[打喷嚏]                              1
1139   [笑声],[吸鼻],[咳嗽]                               1
1140   [呻吟],[鼓掌],[嘶声]                               1
1141   [笑声],[咂嘴],[打喷嚏]                              1
1142   [哼唱],[吸鼻],[鼓掌]                               1
1143   [嘶声],[叹气],[鼓掌]                               1
1144   [咳嗽],[鼓掌],[哼唱]                               1
1145   [叹气],[咂嘴],[笑声]                               1
1146   [呼吸],[迟疑],[笑声],[疑问]                          1
1147   [叹气],[疑问],[确认]                               1
1148   [笑声],[呼吸],[惊讶],[确认]                          1
1149   [确认],[呼吸],[不满],[惊讶]                          1
1150   [叹气],[惊讶],[笑声],[不满]                          1
1151   [疑问],[呼吸],[笑声],[不满]                          1
1152   [惊讶],[不满],[确认],[疑问]                          1
1153   [惊讶],[哭声]                                    1
1154   [惊讶],[不满],[迟疑],[疑问]                          1
1155   [呼吸],[不满],[惊讶]                               1
1156   [叹气],[迟疑],[笑声],[呼吸]                          1
1157   [迟疑],[哭声]                                    1
1158   [迟疑],[不满],[笑声],[疑问]                          1
1159   [叹气],[哭声]                                    1
1160   [惊讶],[迟疑],[笑声],[不满]                          1
1161   [呼吸],[笑声],[确认],[惊讶]                          1
1162   [确认],[迟疑],[惊讶],[呼吸]                          1
1163   [咳嗽],[迟疑],[笑声],[不满]                          1
1164   [叹气],[呼吸],[笑声],[疑问]                          1
1165   [迟疑],[呼吸],[笑声],[确认]                          1
1166   [鼓掌],[叹气],[嘶声]                               1
1167   [鼓掌],[嘶声],[叹气]                               1
1168   [笑声],[鼓掌],[吹口哨]                              1
1169   [笑声],[叹气],[咂嘴]                               1
1170   [打喷嚏],[吸鼻],[清嗓]                              1
1171   [鼓掌],[叹气],[咂嘴]                               1
1172   [笑声],[清嗓],[咳嗽]                               1
1173   [呼吸],[吸鼻],[鼓掌]                               1
1174   [鼓掌],[吸鼻],[呼吸]                               1
1175   [哼唱],[呼吸],[清嗓]                               1
1176   [咂嘴],[吹口哨],[哼唱]                              1
1177   [打喷嚏],[哼唱],[呼吸]                              1
1178   [呼吸],[叹气],[嘶声]                               1
1179   [打喷嚏],[笑声],[咂嘴]                              1
